"Source:","C:\Users\Florian\Documents\dev\stomp\fuzz_factory_mod\cad\fuzz_factory_mod\fuzz_factory_mod.sch"
"Date:","13/06/2020 12:42:10"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","376"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"","","SW1201","SW_PUSH","Switch:SW_Push","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","",""
"","","SW1301","SW_PUSH","Switch:SW_Push","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","",""
"","","U201","STM32F303VCTx","MCU_ST_STM32F3:STM32F303VCTx","Housings_QFP:LQFP-100_14x14mm_Pitch0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00058181.pdf",""
"","","U301","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf",""
"","","U302","FT230XS","Interface_USB:FT230XS","Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm","http://www.ftdichip.com/Products/ICs/FT230X.html",""
"","","U401","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf",""
"","","U601","4050","4xxx:4050","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf",""
"","","U602","4504","4xxx_IEEE:4504","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/cd4504b.pdf",""
"","","U603","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U604","4049","4xxx:4049","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf",""
"","","U701","AD5262_ABC","flax_lib:AD5262_ABC","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","",""
"","","U801","TL072","Amplifier_Operational:TL072","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
"","","U901","4N25","Isolator:4N25","Housings_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf",""
"","","U902","4011","4xxx:4011","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf",""
"","","U1101","LM1458","flax_lib:LM1458","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ns/lm158.pdf",""
"","","U1102","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U1201","LM2903","Comparator:LM2903","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf",""
"","","U1301","TL072","Amplifier_Operational:TL072","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
"","","U1501","LM1458","flax_lib:LM1458","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ns/lm158.pdf",""
"","","U1502","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U1601","4050","4xxx:4050","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf",""
"","","U1602","4049","4xxx:4049","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf",""
"","","U1603","4504","4xxx_IEEE:4504","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/cd4504b.pdf",""
"","","U1604","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U1701","LM1458","flax_lib:LM1458","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ns/lm158.pdf",""
"","","U1702","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U1803","LM1458","flax_lib:LM1458","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ns/lm158.pdf",""
"","","U1804","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U1901","LM2903","Comparator:LM2903","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf",""
"","","U2201","TL072","flax_lib:TL072","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"","","U2202","LM2674M-ADJ","Regulator_Switching:LM2674M-ADJ","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm2674.pdf",""
"","","Y201","Resonator_Small","Device:Resonator_Small","flax_lib:Resonator_AEL_ZTTxx_SMD","~",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"1","6","C201, C209, C1101, C1501, C1702, C1805","1u","Device:C","Capacitors_SMD:C_0805","~",""
"2","3","C202, C208, C301","10n","Device:C","Capacitors_SMD:C_0603","~",""
"3","1","C203","4u7","Device:C","Capacitors_SMD:C_1206","~",""
"4","77","C204, C205, C206, C207, C210, C211, C212, C305, C306, C501, C601, C602, C603, C604, C606, C607, C608, C609, C701, C702, C801, C803, C907, C1102, C1103, C1104, C1106, C1107, C1108, C1109, C1110, C1111, C1201, C1202, C1203, C1204, C1205, C1206, C1207, C1301, C1303, C1304, C1305, C1502, C1503, C1504, C1506, C1507, C1508, C1509, C1607, C1608, C1609, C1610, C1612, C1613, C1614, C1615, C1703, C1704, C1705, C1707, C1708, C1709, C1710, C1806, C1807, C1808, C1810, C1811, C1812, C1813, C1905, C1906, C1907, C1908, C1909","100n","Device:C","Capacitors_SMD:C_0603","~",""
"5","4","C302, C304, C401, C402","47p","Device:C","Capacitors_SMD:C_0603","~",""
"6","1","C303","4u7","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"7","2","C605, C1611","10u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"8","6","C802, C1302, C1901, C2210, C2501, C2601","100p","Device:C","Capacitors_SMD:C_0603","~",""
"9","4","C1105, C1505, C1706, C1809","220n","Device:C","Capacitors_SMD:C_0805","~",""
"10","1","C1701","47u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"11","5","C2201, C2202, C2204, C2206, C2208","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"12","3","C2203, C2205, C2209","100nF","Device:C","Capacitors_SMD:C_0603","~",""
"13","1","C2207","10nF","Device:C","Capacitors_SMD:C_0603","~",""
"14","1","D901","BAT54A","Diode:BAT54A","TO_SOT_Packages_SMD:SOT-23","http://www.diodes.com/_files/datasheets/ds11005.pdf",""
"15","5","D1101, D1501, D1701, D1702, D1801","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"16","4","D1102, D1502, D1703, D1802","BZX84Cxx","Diode:BZX84Cxx","Diodes_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf",""
"17","1","D2201","BAS3010B","flax_lib:BAS3010B","Diodes_SMD:D_SOD-323","",""
"18","1","J101","Conn_interface_1","Connector:Conn_01x16_Female","Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm_SMD_Pin1Left","~",""
"19","1","J102","Conn_interface_2","Connector:Conn_01x16_Female","Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm_SMD_Pin1Left","~",""
"20","1","J201","Conn_MCU_SWD","Connector:Conn_01x07_Male","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm","~",""
"21","2","J301, J401","USB_B_Micro","Connector:USB_B_Micro","Connect:USB_Micro-B","~",""
"22","1","J901","CONN_MIDI_IN","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"23","1","J902","CONN_MIDI_THRU","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"24","1","J903","CONN_MIDI_OUT","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"25","1","J1301","Conn_analog_1","Connector:Conn_01x06_Female","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~",""
"26","1","J1302","Conn_analog_2","Connector:Conn_01x06_Female","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~",""
"27","1","J1701","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connect:JACK_ALIM","~",""
"28","1","J1702","Conn_Battery","Connector:Conn_01x02_Female","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"29","1","J1703","CONN_AUDIO_IN","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"30","1","J1704","CONN_AUDIO_OUT","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"31","1","J2801","CONN_AUDIO_OUT_REF","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"32","1","J2802","CONN_EXP_1","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"33","1","J2803","CONN_EXP_2","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"34","1","K1701","EE2-5NU","flax_lib:EE2-5NU","flax_lib:RELAY-EE2","",""
"35","1","L201","BLMxxx","Device:L","Capacitors_SMD:C_0603","~",""
"36","1","L301","L_Core_Ferrite_Small","Device:L_Core_Ferrite_Small","Capacitors_SMD:C_0603","~",""
"37","2","L2201, L2202","100u","flax_lib:SLF7045T-221MR33-PF","flax_lib:L_TDK_SLF7045","","SLF7045T-221MR33-PF"
"38","3","NT101, NT102, NT1701","Net-Tie_2","Device:Net-Tie_2","Oddities:NetTie-II","~",""
"39","8","Q601, Q602, Q603, Q604, Q1602, Q1603, Q1604, Q1605","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"40","4","Q801, Q802, Q1301, Q1302","MMDT3904","Transistor_BJT:MMDT3904","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf",""
"41","1","Q1701","DTC114Y","Transistor_BJT:DTC114Y","TO_SOT_Packages_SMD:SOT-23","",""
"42","1","Q1702","DTA114E","Transistor_BJT:DTA114E","TO_SOT_Packages_SMD:SOT-23","",""
"43","1","Q2201","BCP51","Transistor_BJT:BCP51","TO_SOT_Packages_SMD:SOT-223","http://www.fairchildsemi.com/ds/BC/BCP51.pdf",""
"44","1","R201","10k","Device:R_Small","Resistors_SMD:R_0603","~",""
"45","1","R202","390","Device:R_Small","Resistors_SMD:R_0603","~",""
"46","1","R203","1M","Device:R_Small","Resistors_SMD:R_0603","~",""
"47","1","R204","0","Device:R_Small","Resistors_SMD:R_0603","~",""
"48","6","R301, R302, R303, R304, R401, R402","27","Device:R","Resistors_SMD:R_0603","~",""
"49","19","R501, R502, R503, R504, R505, R506, R508, R605, R606, R613, R614, R615, R616, R1621, R1622, R1623, R1624, R1625, R1626","0","Device:R","Resistors_SMD:R_0603","~",""
"50","62","R509, R611, R612, R803, R804, R808, R813, R1102, R1103, R1105, R1106, R1108, R1110, R1111, R1112, R1113, R1114, R1116, R1210, R1303, R1304, R1308, R1313, R1315, R1502, R1503, R1505, R1506, R1508, R1510, R1511, R1512, R1513, R1514, R1631, R1632, R1704, R1705, R1707, R1708, R1710, R1712, R1713, R1714, R1715, R1716, R1820, R1821, R1823, R1824, R1826, R1828, R1829, R1830, R1831, R1832, R2201, R2202, R2203, R2204, R2206, R2207","10k","Device:R","Resistors_SMD:R_0603","~",""
"51","17","R601, R602, R603, R604, R918, R1201, R1202, R1203, R1204, R1617, R1618, R1619, R1620, R1909, R1910, R1911, R1912","4k7","Device:R","Resistors_SMD:R_0603","~",""
"52","8","R607, R608, R801, R1301, R1627, R1628, R1701, R1702","1M","Device:R","Resistors_SMD:R_0603","~",""
"53","4","R609, R610, R1629, R1630","3k9","Device:R","Resistors_SMD:R_0603","~",""
"54","24","R802, R807, R809, R810, R811, R812, R1104, R1107, R1205, R1206, R1302, R1307, R1309, R1310, R1311, R1312, R1504, R1507, R1706, R1709, R1822, R1825, R1913, R1914","100k","Device:R","Resistors_SMD:R_0603","~",""
"55","4","R805, R806, R1305, R1306","330","Device:R","Resistors_SMD:R_0603","~",""
"56","5","R917, R920, R921, R922, R923","220","Device:R","Resistors_SMD:R_0805","~",""
"57","5","R919, R1115, R1209, R1314, R2205","100","Device:R","Resistors_SMD:R_0603","~",""
"58","14","R1101, R1207, R1208, R1501, R1703, R1819, R1915, R1916, R2801, R2802, R2803, R2804, R2805, R2806","1k","Device:R","Resistors_SMD:R_0603","~",""
"59","4","R1109, R1509, R1711, R1827","10k","Device:R","Resistors_SMD:R_0805","~",""
"60","2","RV801, RV1301","R_POT_TRIM","Device:R_POT_TRIM","Potentiometers:Potentiometer_Trimmer_Bourns_3266X","~",""
"61","3","SW1101, SW1201, SW1301","SW_PUSH","Switch:SW_Push","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","",""
"62","1","U201","STM32F303VCTx","MCU_ST_STM32F3:STM32F303VCTx","Housings_QFP:LQFP-100_14x14mm_Pitch0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00058181.pdf",""
"63","2","U301, U401","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf",""
"64","1","U302","FT230XS","Interface_USB:FT230XS","Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm","http://www.ftdichip.com/Products/ICs/FT230X.html",""
"65","2","U601, U1601","4050","4xxx:4050","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf",""
"66","2","U602, U1603","4504","4xxx_IEEE:4504","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/cd4504b.pdf",""
"67","6","U603, U1102, U1502, U1604, U1702, U1804","MC33202","flax_lib:MC33202","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"68","2","U604, U1602","4049","4xxx:4049","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf",""
"69","1","U701","AD5262_ABC","flax_lib:AD5262_ABC","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","",""
"70","3","U801, U1301, U2201","TL072","flax_lib:TL072","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
"71","1","U901","4N25","Isolator:4N25","Housings_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf",""
"72","1","U902","4011","4xxx:4011","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf",""
"73","4","U1101, U1501, U1701, U1803","LM1458","flax_lib:LM1458","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ns/lm158.pdf",""
"74","2","U1201, U1901","LM2903","Comparator:LM2903","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf",""
"75","1","U2202","LM2674M-ADJ","Regulator_Switching:LM2674M-ADJ","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm2674.pdf",""
"76","1","Y201","Resonator_Small","Device:Resonator_Small","flax_lib:Resonator_AEL_ZTTxx_SMD","~",""
